pais,nombre_completo,club,posicion,partidos_internacionales
Escocia,Anthony Ralston,Celtic,Defensa,25
Escocia,John Souttar,Rangers,Defensa,22
Escocia,Aaron Hickey,Brentford,Defensa,19
Escocia,Dominic Hyam,Wrexham,Defensa,2
Escocia,John McGinn,Aston Villa,Mediocampista,85
Escocia,Scott McTominay,Napoli,Mediocampista,69
Escocia,Ryan Christie,Bournemouth,Mediocampista,66
Escocia,Kenny McLean,Norwich City,Mediocampista,56
Escocia,Tyler Fletcher,Manchester United,Mediocampista,1
Escocia,Lewis Ferguson,Bologna,Mediocampista,23
Escocia,Ben Gannon-Doak,Bournemouth,Mediocampista,12
Escocia,Findlay Curtis,Kilmarnock,Mediocampista,1
Escocia,Lyndon Dykes,Charlton Athletic,Delantero,50
Escocia,Ché Adams,Torino,Delantero,46
Escocia,Lawrence Shankland,Hearts,Delantero,18
Escocia,George Hirst,Ipswich Town,Delantero,8
Escocia,Ross Stewart,Southampton,Delantero,2
Estados Unidos,Matt Turner,New England Revolution,Portero,53
Estados Unidos,Matt Freese,New York City FC,Portero,14
Estados Unidos,Chris Brady,Chicago Fire,Portero,0
Estados Unidos,Tim Ream,Charlotte FC,Defensa,80
Estados Unidos,Antonee Robinson,Fulham,Defensa,52
Estados Unidos,Miles Robinson,FC Cincinnati,Defensa,38
Estados Unidos,Sergiño Dest,PSV Eindhoven,Defensa,37
Estados Unidos,Chris Richards,Crystal Palace,Defensa,36
Estados Unidos,Mark McKenzie,Toulouse,Defensa,27
Estados Unidos,Joe Scally,Borussia Mönchengladbach,Defensa,24
Estados Unidos,Maximilian Arfsten,Columbus Crew,Defensa,18
Estados Unidos,Alex Freeman,Villarreal,Defensa,15
Estados Unidos,Auston Trusty,Celtic,Defensa,6
Estados Unidos,Weston McKennie,Juventus,Mediocampista,64
Estados Unidos,Tyler Adams,Bournemouth,Mediocampista,52
Estados Unidos,Cristian Roldan,Seattle Sounders,Mediocampista,45
Estados Unidos,Giovanni Reyna,Borussia Mönchengladbach,Mediocampista,36
Estados Unidos,Malik Tillman,Bayer Leverkusen,Mediocampista,28
Estados Unidos,Sebastian Berhalter,Vancouver Whitecaps,Mediocampista,11
Estados Unidos,Christian Pulisic,Milan,Delantero,84
Estados Unidos,Brenden Aaronson,Leeds United,Delantero,57
Estados Unidos,Timothy Weah,Marseille,Delantero,49
Estados Unidos,Ricardo Pepi,PSV Eindhoven,Delantero,35
Estados Unidos,Folarin Balgoun,Monaco,Delantero,25
Estados Unidos,Haji Wright,Coventry City,Delantero,20
Estados Unidos,Alex Zendejas,Club América,Delantero,13
Paraguay,Gatito Fernández,Cerro Porteño,Portero,30
Paraguay,Orlando Gill,San Lorenzo,Portero,5
Paraguay,Gastón Olveira,Olimpia,Portero,1
Paraguay,Gustavo Gómez,Palmeiras,Defensa,88
Paraguay,Júnior Alonso,Atlético Mineiro,Defensa,70
Paraguay,Fabián Balbuena,Grêmio,Defensa,47
Paraguay,Omar Alderete,Sunderland,Defensa,35
Paraguay,Juan José Cáceres,Dynamo Moscow,Defensa,16
Paraguay,Gustavo Velázquez,Cerro Porteño,Defensa,12
Paraguay,José Canale,Lanús,Defensa,1
Paraguay,Alexandro Maidana,Talleres,Defensa,1
Paraguay,Miguel Almirón,Atlanta United,Mediocampista,75
Paraguay,Kaku,Al Ain,Mediocampista,32
Paraguay,Andrés Cubas,Vancouver Whitecaps,Mediocampista,32
Paraguay,Ramón Sosa,Palmeiras,Mediocampista,28
Paraguay,Diego Gómez,Brighton,Mediocampista,23
Paraguay,Damián Bobadilla,São Paulo,Mediocampista,19
Paraguay,Braian Ojeda,Orlando City,Mediocampista,16
Paraguay,Matías Galarza,Atlanta United,Mediocampista,14
Paraguay,Maurício,Palmeiras,Mediocampista,2
Paraguay,Antonio Sanabria,Cremonese,Delantero,47
Paraguay,Julio Enciso,Strasbourg,Delantero,31
Paraguay,Gabriel Ávalos,Independiente,Delantero,22
Paraguay,Álex Arce,Independiente Rivadavia,Delantero,14
Paraguay,Isidro Pitta,Red Bull Bragantino,Delantero,5
Paraguay,Gustavo Caballero,Portsmouth,Delantero,2
Australia,Mathew Ryan,Levante,Portero,104
Australia,Paul Izzo,Randers,Portero,4
Australia,Patrick Beach,Melbourne City,Portero,0
Australia,Aziz Behich,Melbourne City,Defensa,83
Australia,Miloš Degenek,APOEL,Defensa,56
Australia,Harry Souttar,Leicester,Defensa,37
Australia,Jordan Bos,Feyenoord,Defensa,26
Australia,Cameron Burgess,Swansea,Defensa,26
Australia,Jason Geria,Albirex Niigata,Defensa,13
Australia,Alessandro Circati,Parma,Defensa,12
Australia,Kai Trewin,New York City FC,Defensa,5
Australia,Jacob Italiano,Grazer AK,Defensa,4
Australia,Lucas Herrington,Colorado Rapids,Defensa,3
Australia,Jackson Irvine,St. Pauli,Mediocampista,81
Australia,Ajdin Hrustic,Heracles,Mediocampista,37
Australia,Connor Metcalfe,St. Pauli,Mediocampista,35
Australia,Aiden O'Neill,New York City FC,Mediocampista,30
Australia,Paul Okon-Engstler,Sydney FC,Mediocampista,5
Australia,Cammy Devlin,Hearts,Mediocampista,4
Australia,Mathew Leckie,Melbourne City,Delantero,79
Australia,Awer Mabil,Castellón,Delantero,38
Australia,Nestory Irankunda,Watford,Delantero,14
Australia,Mohamed Touré,Norwich,Delantero,9
Australia,Nishan Velupilla,Melbourne Victory,Delantero,7
Australia,Cristian Volpato,Sassuolo,Delantero,0
Australia,Tete Yengi,Machida Zelvia,Delantero,0
